unique_id,ds,AutoARIMA,AutoARIMA-lo-99,AutoARIMA-lo-95,AutoARIMA-lo-68,AutoARIMA-hi-68,AutoARIMA-hi-95,AutoARIMA-hi-99,confidence_score,Client,Warehouse,Product
32/11/10530,2023-10-08,0.6965384,-0.72440684,-0.6722829,-0.32044616,1.7135229,2.0653596,2.1174836,0.9999998992251655,32,11,10530
32/11/10530,2023-10-15,0.99393123,0.4175164,0.42545897,0.47907114,1.5087913,1.5624034,1.570346,0.9999998992251655,32,11,10530
32/11/10530,2023-10-22,0.38265333,-0.07442875,-0.0714902,-0.051655006,0.81696165,0.8367969,0.8397354,0.9999998992251655,32,11,10530
32/11/10530,2023-10-29,0.41488275,-1.0414876,-0.989538,-0.6388784,1.4686439,1.8193035,1.8712531,0.9999998992251655,32,11,10530
32/11/10530,2023-11-05,0.3771925,-0.10201788,-0.09624691,-0.057292856,0.8116778,0.8506319,0.8564029,0.9999998992251655,32,11,10530
32/11/10530,2023-11-12,0.24899219,-2.2297478,-2.177875,-1.8277351,2.3257196,2.6758595,2.7277322,0.9999998992251655,32,11,10530
32/11/10530,2023-11-19,0.21525042,-0.4211585,-0.4130033,-0.35795566,0.7884565,0.84350413,0.8516593,0.9999998992251655,32,11,10530
32/11/10530,2023-11-26,0.1764141,-0.4705375,-0.46078715,-0.39497215,0.74780035,0.8136153,0.82336575,0.9999998992251655,32,11,10530
32/11/10530,2023-12-03,0.13434091,-2.3611877,-2.249379,-1.494669,1.7633507,2.5180607,2.6298697,0.9999998992251655,32,11,10530
32/11/10530,2023-12-10,0.10967548,-0.55755466,-0.5453199,-0.46273518,0.6820861,0.76467085,0.77690566,0.9999998992251655,32,11,10530
32/11/10530,2023-12-17,0.08799128,-0.5889182,-0.5754891,-0.48484272,0.66082525,0.75147164,0.76490074,0.9999998992251655,32,11,10530
32/11/10530,2023-12-24,0.06946622,-3.435153,-3.2405605,-1.9270604,2.0659928,3.379493,3.5740855,0.9999998992251655,32,11,10530
32/11/10530,2023-12-31,0.055819433,-0.37935558,-0.37116265,-0.3158603,0.42749915,0.4828015,0.49099445,0.9999998992251655,32,11,10530
32/11/4550,2023-10-08,4.978731,-1.3389266,-0.9540946,1.643521,8.313941,10.911557,11.296389,0.9999999612438565,32,11,4550
32/11/4550,2023-10-15,4.3024898,-24.324217,-22.831043,-12.752118,21.357098,31.436022,32.929195,0.9999999612438565,32,11,4550
32/11/4550,2023-10-22,3.7180998,-6.171478,-5.729789,-2.7483876,10.1845875,13.165988,13.607677,0.9999999612438565,32,11,4550
32/11/4550,2023-10-29,3.213085,-7.6473,-7.088838,-3.319223,9.745393,13.515008,14.07347,0.9999999612438565,32,11,4550
32/11/4550,2023-11-05,2.7766645,-2.1646168,-1.9297423,-0.3443389,5.897668,7.4830713,7.717946,0.9999999612438565,32,11,4550
32/11/4550,2023-11-12,2.399521,-2.5359216,-2.277692,-0.5346434,5.333686,7.0767345,7.334964,0.9999999612438565,32,11,4550
32/11/4550,2023-11-19,2.0736039,-2.858094,-2.5848851,-0.7407249,4.8879323,6.732093,7.0053015,0.9999999612438565,32,11,4550
32/11/4550,2023-11-26,1.7919544,-4.1223416,-3.7795248,-1.4655131,5.049422,7.363434,7.70625,0.9999999612438565,32,11,4550
32/11/4550,2023-12-03,1.5485604,-1.409195,-1.2402161,-0.099609464,3.1967301,4.337337,4.5063157,0.9999999612438565,32,11,4550
32/11/4550,2023-12-10,1.3382256,-1.6185416,-1.4456105,-0.27832538,2.9547765,4.1220617,4.294993,0.9999999612438565,32,11,4550
32/11/4550,2023-12-17,1.1564597,-4.754674,-4.3992076,-1.9998113,4.312731,6.712127,7.067593,0.9999999612438565,32,11,4550
32/11/4550,2023-12-24,0.9993824,-4.9113445,-4.5542526,-2.1438813,4.1426463,6.553017,6.9101095,0.9999999612438565,32,11,4550
32/11/4550,2023-12-31,0.86364025,-7.016826,-6.538691,-3.3112807,5.0385613,8.265972,8.744106,0.9999999612438565,32,11,4550
32/11/5940,2023-10-08,2.4313421,1.5096554,1.5509205,1.8294595,3.0332248,3.311764,3.353029,0.9999999761830007,32,11,5940
32/11/5940,2023-10-15,2.1462455,-0.7839482,-0.7518061,-0.53484666,4.8273377,5.044297,5.0764394,0.9999999761830007,32,11,5940
